CopyNo X Y Z Orientation_theta Orientation_phi
50417 856.6124 -15739.7 13121.43 50.2253 -86.8848
50418 2434.192 -15573.9 13121.43 50.2253 -81.1166
50419 948.8259 -16617 11973.47 54.2694 -86.732
50420 2526.405 -16451.2 11973.47 54.2694 -81.2693
50421 4110.363 -15217.7 13121.43 50.2254 -74.8849
50422 5618.994 -14727.5 13121.43 50.2254 -69.1166
50423 4382.967 -16056.6 11973.47 54.2694 -74.7319
50424 5891.597 -15566.4 11973.47 54.2693 -69.2693
50425 7184.471 -14030.5 13121.43 50.2253 -62.8848
50426 8558.219 -13237.4 13121.43 50.2253 -57.1166
50427 7625.551 -14794.5 11973.47 54.2694 -62.732
50428 8999.298 -14001.4 11973.47 54.2695 -57.2694
50429 9944.584 -12230.2 13121.43 50.2254 -50.8849
50430 11123.41 -11168.8 13121.43 50.2253 -45.1167
50431 10534.86 -12885.8 11973.47 54.2695 -50.7321
50432 11713.69 -11824.3 11973.47 54.2694 -45.2692
50433 12249.25 -9861.79 13169 50.0566 -38.8373
50434 12629.5 -10138.1 12557.36 52.2109 -38.7551
50435 13579.73 -8830.19 12557.36 52.216 -33.0338
50436 13959.98 -9106.46 11945.72 54.3707 -33.1175
50437 14059.3 -7128.01 13121.43 50.2254 -26.8848
50438 14704.48 -5678.88 13121.43 50.2253 -21.1166
50439 14865.18 -7486.81 11973.47 54.2694 -26.732
50440 15510.37 -6037.68 11973.47 54.2694 -21.2693
50441 15234.06 -4049.15 13121.43 50.2253 -14.8848
50442 15563.86 -2497.54 13121.43 50.2253 -9.1166
50443 16096.94 -4232.56 11973.47 54.2694 -14.732
50444 16426.74 -2680.95 11973.47 54.2694 -9.2693
50445 15743.03 -793.328 13121.43 50.2254 -2.8848
50446 15743.02 792.942 13121.43 50.2253 2.8834
50447 16625.18 -793.325 11973.47 54.2694 -2.732
50448 16625.18 792.9453 11973.47 54.2694 2.7307
50449 15563.95 2497.168 13121.43 50.2254 9.1152
50450 15234.14 4048.773 13121.43 50.2253 14.8834
50451 16426.82 2680.581 11973.47 54.2694 9.268
50452 16097.01 4232.186 11973.47 54.2694 14.7307
50453 14704.65 5678.525 13121.43 50.2254 21.1152
50454 14059.45 7127.652 13121.43 50.2253 26.8834
50455 15510.53 6037.332 11973.47 54.2694 21.268
50456 14865.33 7486.46 11973.47 54.2694 26.7307
50457 13164.34 8602.269 13169 50.0566 33.1627
50458 13544.6 8878.54 12557.36 52.2109 33.245
50459 12594.38 10186.41 12557.36 52.216 38.9661
50460 12974.63 10462.68 11945.72 54.3707 38.8825
50461 11123.7 11168.51 13121.43 50.2253 45.1152
50462 9944.867 12229.93 13121.43 50.2253 50.8834
50463 11713.97 11824.08 11973.47 54.2694 45.268
50464 10535.14 12885.5 11973.47 54.2694 50.7307
50465 8558.556 13237.2 13121.43 50.2253 57.1152
50466 7184.803 14030.33 13121.43 50.2253 62.8834
50467 8999.63 14001.17 11973.47 54.2694 57.268
50468 7625.877 14794.3 11973.47 54.2694 62.7307
50469 5619.363 14727.36 13121.43 50.2254 69.1152
50470 4110.728 15217.54 13121.43 50.2253 74.8834
50471 5891.96 15566.34 11973.47 54.2694 69.268
50472 4383.326 16056.51 11973.47 54.2694 74.7307
50473 2434.576 15573.86 13121.43 50.2253 81.1152
50474 856.9956 15739.66 13121.43 50.2253 86.8834
50475 2526.783 16451.18 11973.47 54.2694 81.268
50476 949.2025 16616.99 11973.47 54.2694 86.7307
50477 -856.612 15739.71 13121.43 50.2253 93.1152
50478 -2434.19 15573.89 13121.43 50.2253 98.8834
