#Position file for Large PMT in CD     
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250425.     
"#Have installed 17596 CD-LPMT  more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F"     
#CopyNo X Y Z Orientation_theta Orientation_phi
315 -1335.88 -5419.9 18615.06 16.6924 -103.8461
316 -806.552 -5523.52 18615.06 16.6924 -98.3077
317 -269.69 -5575.58 18615.06 16.6924 -92.7692
318 269.6899 -5575.58 18615.06 16.6924 -87.2308
319 806.5522 -5523.52 18615.06 16.6924 -81.6923
320 1335.884 -5419.9 18615.06 16.6924 -76.1539
321 1852.743 -5265.66 18615.06 16.6924 -70.6154
322 2352.303 -5062.26 18615.06 16.6924 -65.0769
323 2829.901 -4811.6 18615.06 16.6924 -59.5385
324 3281.076 -4516.01 18615.06 16.6924 -54
325 3701.617 -4178.26 18615.06 16.6924 -48.4615
326 4087.597 -3801.5 18615.06 16.6924 -42.9231
327 4435.413 -3389.24 18615.06 16.6924 -37.3846
328 4741.816 -2945.34 18615.06 16.6924 -31.8461
329 5003.945 -2473.94 18615.06 16.6924 -26.3077
330 5219.355 -1979.44 18615.06 16.6924 -20.7692
331 5386.033 -1466.46 18615.06 16.6924 -15.2308
332 5502.422 -939.786 18615.06 16.6924 -9.6923
333 5567.438 -404.338 18615.06 16.6924 -4.1538
334 5580.471 134.8839 18615.06 16.6924 1.3846
335 5541.401 672.8476 18615.06 16.6924 6.9231
336 5450.593 1204.529 18615.06 16.6924 12.4615
337 5308.894 1724.963 18615.06 16.6924 18
338 5117.627 2229.293 18615.06 16.6924 23.5385
339 4878.578 2712.808 18615.06 16.6924 29.0769
340 4593.979 3170.994 18615.06 16.6924 34.6154
341 4266.488 3599.574 18615.06 16.6924 40.1538
342 3899.161 3994.545 18615.06 16.6924 45.6923
343 3495.429 4352.22 18615.06 16.6924 51.2308
344 3059.061 4669.26 18615.06 16.6924 56.7692
345 2594.132 4942.704 18615.06 16.6924 62.3077
346 2104.981 5170 18615.06 16.6924 67.8462
347 1596.177 5349.025 18615.06 16.6924 73.3846
348 1072.471 5478.107 18615.06 16.6924 78.9231
349 538.7502 5556.041 18615.06 16.6924 84.4615
350 0 5582.101 18615.06 16.6924 90
351 -538.75 5556.042 18615.06 16.6924 95.5385
352 -1072.47 5478.107 18615.06 16.6924 101.0769
353 -1596.18 5349.025 18615.06 16.6924 106.6154
354 -2104.98 5170 18615.06 16.6924 112.1538
355 -2594.13 4942.705 18615.06 16.6924 117.6923
356 -3059.06 4669.261 18615.06 16.6924 123.2308
357 -3495.43 4352.221 18615.06 16.6924 128.7692
358 -3899.16 3994.546 18615.06 16.6924 134.3077
359 -4266.49 3599.574 18615.06 16.6924 139.8462
