PMTID_sim Type X Y Z Theta Phi PMTID RelativeDEV Gain TimeOffset DarkRateV MeanGain
126 HighQENNVT 3303.8527 1186.6006 19114.3112 10.4068 19.7561 328299008 0.247093 0.984042 11.8551 13802.6 1.11526
127 HighQENNVT 3083.9991 1677.025 19114.3112 10.4068 28.5366 328303104 0.265721 0.977933 11.0431 19479.7 1.09994
128 HighQENNVT 2791.8591 2128.1413 19114.3112 10.4068 37.3171 328307200 0.2304 0.979824 12.8571 18752.8 1.09336
129 HighQENNVT 2434.2804 2529.3757 19114.3112 10.4068 46.0976 328311296 0.245886 0.977351 13.7881 18468.1 1.10089
130 HighQENNVT 2019.6441 2871.3237 19114.3112 10.4068 54.878 328315392 0.276026 0.973965 16.7721 18873.8 1.10038
131 HighQENNVT 1557.6692 3145.9703 19114.3112 10.4068 63.6585 328319488 0.240142 0.959146 11.4261 16079.4 1.09993
132 HighQENNVT 1059.1838 3346.878 19114.3112 10.4068 72.439 328323584 0.229745 0.974133 9.83307 14395.6 1.10611
133 HighQENNVT 535.8721 3469.3377 19114.3112 10.4068 81.2195 328327680 0.234077 0.969114 7.68408 11490.7 1.10568
134 HighQENNVT 0.0 3510.4792 19114.3112 10.4068 90.0 328331776 0.230772 0.970287 13.3541 12584.5 1.12558
135 HighQENNVT -535.8721 3469.3379 19114.3112 10.4068 98.7805 328335872 0.252562 0.969139 13.6971 18690.8 1.10077
136 HighQENNVT -1059.1837 3346.8783 19114.3112 10.4068 107.561 328339968 0.21349 0.972772 14.9631 11852.4 1.10831
137 NNVT -1557.6691 3145.9706 19114.3112 10.4068 116.3415 328344064 0.220744 0.9737 6.27408 19273.7 1.09125
138 HighQENNVT -2019.6441 2871.324 19114.3112 10.4068 125.122 328348160 0.241303 0.954523 6.33908 12917.9 1.10482
139 HighQENNVT -2434.2802 2529.3762 19114.3112 10.4068 133.9024 328352256 0.246073 0.9458 14.7071 16925.2 1.11178
140 HighQENNVT -2791.8591 2128.1417 19114.3112 10.4068 142.6829 328356352 0.243352 0.983558 11.9461 15476.2 1.10206
141 HighQENNVT -3083.999 1677.0255 19114.3112 10.4068 151.4634 328360448 0.25406 0.960451 6.88406 16498.4 1.10773
142 HighQENNVT -3303.8525 1186.6012 19114.3112 10.4068 160.2439 328364544 0.243999 0.963107 11.2501 15422.2 1.10023
143 Hamamatsu -3446.2666 668.364 19114.3112 10.4068 169.0244 328368384 0.201726 0.970872 -26.0429 5919.32 1.01291
144 Hamamatsu -3507.9031 134.4609 19114.3112 10.4068 177.8049 328372480 0.222564 0.976819 -27.2449 7378.37 1.01081
145 HighQENNVT -4031.6336 -116.8092 19010.8559 11.9782 -178.3404 327160320 0.230405 0.972909 7.71109 10924.3 1.101
146 HighQENNVT -3967.8187 -723.9672 19010.8559 11.9782 -169.6596 327164416 0.240637 0.996322 12.7051 17545.7 1.11517
147 HighQENNVT -3835.9204 -1246.3661 19010.8559 11.9782 -162.0 327168512 0.236733 0.96013 8.82208 12143.5 1.10109
148 HighQENNVT -3635.57 -1746.5236 19010.8559 11.9782 -154.3404 327172608 0.250133 0.962234 20.8001 16209.0 1.09607
149 HighQENNVT -3330.3188 -2275.2342 19010.8559 11.9782 -145.6596 327176704 0.258992 0.973404 10.0661 12551.9 1.10134
150 HighQENNVT -2997.3449 -2698.8215 19010.8559 11.9782 -138.0 327180800 0.26332 0.969827 10.6751 19702.8 1.1002
151 HighQENNVT -2610.8833 -3074.2483 19010.8559 11.9782 -130.3404 327184896 0.231037 0.967936 12.7631 12655.7 1.10162
152 HighQENNVT -2116.9765 -3433.0925 19010.8559 11.9782 -121.6596 327188992 0.25579 0.967246 17.6521 15070.8 1.09897
153 HighQENNVT -1640.5012 -3684.6261 19010.8559 11.9782 -114.0 327193088 0.257701 0.961963 19.0001 14455.8 1.11838
154 HighQENNVT -1134.7511 -3870.4074 19010.8559 11.9782 -106.3404 327197184 0.242962 0.981971 8.41907 18162.4 1.10657
155 HighQENNVT -537.5897 -3997.338 19010.8559 11.9782 -97.6596 327201280 0.230696 0.969645 12.9681 14155.3 1.10216
156 HighQENNVT 0.0 -4033.3254 19010.8559 11.9782 -90.0 327205376 0.234809 0.970283 14.4471 13177.7 1.09745
157 HighQENNVT 537.5898 -3997.338 19010.8559 11.9782 -82.3404 327209472 0.225373 0.987753 13.3061 11340.9 1.10189
158 HighQENNVT 1134.7512 -3870.4074 19010.8559 11.9782 -73.6596 327213568 0.254503 0.967185 11.8491 15766.2 1.1183
159 HighQENNVT 1640.5012 -3684.6261 19010.8559 11.9782 -66.0 327217664 0.253238 0.968849 13.8101 14297.4 1.09557
160 HighQENNVT 2116.9765 -3433.0925 19010.8559 11.9782 -58.3404 327221760 0.250683 0.970261 6.71707 15072.2 1.10018
161 HighQENNVT 2610.8833 -3074.2482 19010.8559 11.9782 -49.6596 327225856 0.232826 0.962611 11.8651 19172.3 1.102
162 HighQENNVT 2997.3449 -2698.8215 19010.8559 11.9782 -42.0 327229952 0.268157 0.963803 9.24408 17587.8 1.09466
